source,family,implementation,workload,operations_kind,operations,threads,successful_repetitions,expected_repetitions,failed_repetitions,observed_repetitions,complete
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,2048.0,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,4,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,8,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,12,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,16,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,24,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,32,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,48,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConcurrentSteadyPushFrontPopBack,operations_per_thread,8192.0,64,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,ConstructDestroy,,,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushBackPopFront,operations,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushBackPopFront,operations,1024.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushBackPopFront,operations,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushBackPopFront,operations,4096.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushBackPopFront,operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushBackPopFront,operations,16384.0,1,30,30,0,30,True
